iter	Logloss
0	0.6227329073
1	0.5697623705
2	0.5297391131
3	0.4974633565
4	0.476123057
5	0.4565840824
6	0.4426688799
7	0.4269969219
8	0.4147206226
9	0.4036988219
10	0.3960468378
11	0.3913157492
12	0.386380541
13	0.3811695312
14	0.3772567254
15	0.3727788488
16	0.3687600065
17	0.3663635762
18	0.3621337281
19	0.3602544449
20	0.3583704863
21	0.3550212012
22	0.3539323005
23	0.3519718574
24	0.3506359447
25	0.3490183097
26	0.3465023755
27	0.3450052609
28	0.3416322681
29	0.3399789828
30	0.3372236851
31	0.3352680953
32	0.3338695466
33	0.3332312693
34	0.332767585
35	0.3320671291
36	0.3307888974
37	0.3298449361
38	0.3292704891
39	0.3286937806
40	0.328266814
41	0.3276945522
42	0.3258158789
43	0.3251794566
44	0.3249096263
45	0.3222479904
46	0.3216906444
47	0.3207631234
48	0.3204028839
49	0.3174092645
50	0.3167716732
51	0.3161440682
52	0.3156007994
53	0.3153345265
54	0.312577069
55	0.3121299521
56	0.3116283306
57	0.3112739353
58	0.3108432081
59	0.3106298645
60	0.3102265548
61	0.3098955115
62	0.3093343794
63	0.3076399042
64	0.3069900652
65	0.3061429928
66	0.3055420176
67	0.304499465
68	0.3041834136
69	0.3037258787
70	0.3031461717
71	0.3026642938
72	0.3025692599
73	0.3018399889
74	0.3014513662
75	0.3002380066
76	0.2985967911
77	0.2980809398
78	0.2965604987
79	0.2961434929
80	0.2958894931
81	0.2956470296
82	0.2952359189
83	0.29435561
84	0.2938796781
85	0.2937498577
86	0.2934269202
87	0.2927163257
88	0.2915173228
89	0.291220507
90	0.2907000057
91	0.2898728802
92	0.2885480463
93	0.2883486275
94	0.2877312882
95	0.2871488115
96	0.2868156846
97	0.2861799991
98	0.2857231248
99	0.2856072038
