iter	Passed	Remaining
0	135	13441
1	139	6843
2	143	4643
3	147	3545
4	151	2871
5	154	2422
6	157	2098
7	161	1856
8	164	1666
9	168	1516
10	172	1392
11	175	1288
12	179	1199
13	182	1123
14	186	1058
15	190	999
16	194	948
17	197	901
18	201	860
19	205	822
20	209	786
21	212	754
22	216	723
23	220	696
24	223	670
25	227	646
26	230	624
27	234	604
28	238	584
29	242	566
30	246	549
31	250	532
32	254	516
33	258	501
34	262	486
35	266	473
36	270	460
37	274	447
38	279	437
39	283	425
40	287	413
41	291	403
42	296	393
43	300	383
44	305	373
45	309	363
46	314	354
47	318	344
48	322	335
49	326	326
50	331	318
51	335	309
52	339	301
53	344	293
54	349	285
55	353	277
56	358	270
57	362	262
58	367	255
59	372	248
60	378	241
61	383	235
62	389	228
63	394	221
64	399	214
65	403	207
66	408	200
67	412	194
68	417	187
69	421	180
70	426	174
71	430	167
72	435	160
73	440	154
74	444	148
75	449	141
76	453	135
77	458	129
78	463	123
79	468	117
80	473	111
81	478	104
82	483	98
83	488	93
84	497	87
85	503	81
86	508	76
87	513	70
88	519	64
89	524	58
90	529	52
91	535	46
92	539	40
93	544	34
94	549	28
95	554	23
96	559	17
97	563	11
98	568	5
99	573	0
